do,du,did,dId,u->Id
administer,@dmInIst3,administered,3d-mI-nI-st3d,NULL->d
conform,k@nf$m,conformed,k@n-f$md,NULL->d
postpone,p5stp5n,postponed,p5st-p5nd,NULL->d
chat,J{t,chatted,J{-tId,NULL->Id
counter,k6nt3,countered,k6n-t3d,NULL->d
darken,dQrk@n,darkened,dQr-k@nd,NULL->d
depict,dIpIkt,depicted,dI-pIk-tId,NULL->Id
drill,drIl,drilled,drIld,NULL->d
rot,rQt,rotted,rQ-tId,NULL->Id
slice,sl2s,sliced,sl2st,NULL->t
clap,kl{p,clapped,kl{pt,NULL->t
repair,rIp1r,repaired,rI-p1rd,NULL->d
shriek,Srik,shrieked,Srikt,NULL->t
excite,Iks2t,excited,Ik-s2-tId,NULL->Id
embark,ImbQrk,embarked,Im-bQrkt,NULL->t
inhabit,Inh{bIt,inhabited,In-h{-bI-tId,NULL->Id
strangle,str{Ng@l,strangled,str{N-g@ld,NULL->d
structure,strVkJ3,structured,strVk-J3d,NULL->d
denounce,dIn6ns,denounced,dI-n6nst,NULL->t
insert,Ins3t,inserted,In-s3-tId,NULL->Id
presume,prIzjum,presumed,prI-zjumd,NULL->d
prevail,prIv1l,prevailed,prI-v1ld,NULL->d
prescribe,prIskr2b,prescribed,prI-skr2bd,NULL->d
sprinkle,sprINk@l,sprinkled,sprIN-k@ld,NULL->d
defy,dIf2,defied,dI-f2d,NULL->d
deploy,dIpl4,deployed,dI-pl4d,NULL->d
hug,hVg,hugged,hVgd,NULL->d
kid,kId,kidded,kI-dId,NULL->Id
stream,strim,streamed,strimd,NULL->d
cooperate,k5Qp@r1t,cooperated,k5-Q-p@-r1-tId,NULL->Id
joke,_5k,joked,_5kt,NULL->t
bulge,bVl_,bulged,bVl_d,NULL->d
circle,s3k@l,circled,s3-k@ld,NULL->d
sew,s5,sewed,s5d,NULL->d
ail,1l,ailed,1ld,NULL->d
comprise,k@mpr2z,comprised,k@m-pr2zd,NULL->d
groan,gr5n,groaned,gr5nd,NULL->d
hum,hVm,hummed,hVmd,NULL->d
tumble,tVmb@l,tumbled,tVm-b@ld,NULL->d
humiliate,hjumIlI1t,humiliated,hju-mI-lI-1-tId,NULL->Id
jam,_{m,jammed,_{md,NULL->d
quiver,kwIv3,quivered,kwI-v3d,NULL->d
track,tr{k,tracked,tr{kt,NULL->t
rotate,r5t1t,rotated,r5-t1-tId,NULL->Id
smooth,smuD,smoothed,smuDd,NULL->d
stack,st{k,stacked,st{kt,NULL->t
infect,InfEkt,infected,In-fEk-tId,NULL->Id
crumble,krVmb@l,crumbled,krVm-b@ld,NULL->d
lick,lIk,licked,lIkt,NULL->t
schedule,SEdjul,scheduled,SE-djuld,NULL->d
torture,t$J3,tortured,t$-J3d,NULL->d
liberate,lIb@r1t,liberated,lI-b@-r1-tId,NULL->Id
blush,blVS,blushed,blVSt,NULL->t
sob,sQb,sobbed,sQbd,NULL->d
tune,tjun,tuned,tjund,NULL->d
expel,IkspEl,expelled,Ik-spEld,NULL->d
flap,fl{p,flapped,fl{pt,NULL->t
lecture,lEkJ3,lectured,lEk-J3d,NULL->d
bump,bVmp,bumped,bVmpt,NULL->t
cite,s2t,cited,s2-tId,NULL->Id
pace,p1s,paced,p1st,NULL->t
steam,stim,steamed,stimd,NULL->d
tug,tVg,tugged,tVgd,NULL->d
boom,bum,boomed,bumd,NULL->d
flick,flIk,flicked,flIkt,NULL->t
imprison,ImprIz@n,imprisoned,Im-prI-z@nd,NULL->d
preside,prIz2d,presided,prI-z2-dId,NULL->Id
quarrel,kwQr@l,quarrelled,kwQ-r@ld,NULL->d
value,v{lju,valued,v{l-jud,NULL->d
coincide,k5Ins2d,coincided,k5-In-s2-dId,NULL->Id
cram,kr{m,crammed,kr{md,NULL->d
cripple,krIp@l,crippled,krI-p@ld,NULL->d
doom,dum,doomed,dumd,NULL->d
feature,fiJ3,featured,fi-J3d,NULL->d
hint,hInt,hinted,hIn-tId,NULL->Id
speculate,spEkjUl1t,speculated,spE-kjU-l1-tId,NULL->Id
wrinkle,rINk@l,wrinkled,rIN-k@ld,NULL->d
correspond,kQrIspQnd,corresponded,kQ-rI-spQn-dId,NULL->Id
distress,dIstrEs,distressed,dI-strEst,NULL->t
forecast,f$k{st,forecasted,f$-k{-stId,NULL->Id
glitter,glIt3,glittered,glI-t3d,NULL->d
scrub,skrVb,scrubbed,skrVbd,NULL->d
motivate,m5tIv1t,motivated,m5-tI-v1-tId,NULL->Id
rape,r1p,raped,r1pt,NULL->t
fasten,f{s@n,fastened,f{-s@nd,NULL->d
perch,p3J,perched,p3Jt,NULL->t
pitch,pIJ,pitched,pIJt,NULL->t
punch,pVnJ,punched,pVnJt,NULL->t
insult,InsVlt,insulted,In-sVl-tId,NULL->Id
leak,lik,leaked,likt,NULL->t
sentence,sEnt@ns,sentenced,sEn-t@nst,NULL->t
underline,Vnd@l2n,underlined,Vn-d@-l2nd,NULL->d
deter,dIt3r,deterred,dI-t3d,NULL->d
obsess,@bsEs,obsessed,@b-sEst,NULL->t
chatter,J{t3,chattered,J{-t3d,NULL->d
drip,drIp,dripped,drIpt,NULL->t
whirl,w3l,whirled,w3ld,NULL->d
wreck,rEk,wrecked,rEkt,NULL->t
export,Iksp$t,exported,Ik-sp$-tId,NULL->Id
bark,bQrk,barked,bQrkt,NULL->t
brood,brud,brooded,bru-dId,NULL->Id
contrast,k@ntr{st,contrasted,k@n-tr{-stId,NULL->Id
dedicate,dEdIk1t,dedicated,dE-dI-k1-tId,NULL->Id
harm,hQrm,harmed,hQrmd,NULL->d
injure,In_3,injured,In-_3d,NULL->d
mingle,mINg@l,mingled,mIN-g@ld,NULL->d
soar,s$r,soared,s$d,NULL->d
specialize,spES@l2z,specialized,spE-S@-l2zd,NULL->d
splash,spl{S,splashed,spl{St,NULL->t
spray,spr1,sprayed,spr1d,NULL->d
convict,k@nvIkt,convicted,k@n-vIk-tId,NULL->Id
equip,IkwIp,equipped,I-kwIpt,NULL->t
harden,hQrd@n,hardened,hQr-d@nd,NULL->d
grope,gr5p,groped,gr5pt,NULL->t
recycle,ris2k@l,recycled,ri-s2-k@ld,NULL->d
rehearse,rIh3s,rehearsed,rI-h3st,NULL->t
twitch,twIJ,twitched,twIJt,NULL->t
disperse,dIsp3s,dispersed,dI-sp3st,NULL->t
handicap,h{ndIk{p,handicapped,h{n-dI-k{pt,NULL->t
howl,h6l,howled,h6ld,NULL->d
illuminate,IlumIn1t,illuminated,I-lu-mI-n1-tId,NULL->Id
clench,klEnJ,clenched,klEnJt,NULL->t
endorse,Ind$s,endorsed,In-d$st,NULL->t
pant,p{nt,panted,p{n-tId,NULL->Id
sack,s{k,sacked,s{kt,NULL->t
swirl,sw3l,swirled,sw3ld,NULL->d
appal,@p$l,appalled,@-p$ld,NULL->d
dangle,d{Ng@l,dangled,d{N-g@ld,NULL->d
originate,@rI_@n1t,originated,@-rI-_@-n1-tId,NULL->Id
reform,rif$m,reformed,ri-f$md,NULL->d
entail,Int1l,entailed,In-t1ld,NULL->d
milk,mIlk,milked,mIlkt,NULL->t
peel,pil,peeled,pild,NULL->d
ponder,pQnd3,pondered,pQn-d3d,NULL->d
compress,k@mprEs,compressed,k@m-prEst,NULL->t
forge,f$_,forged,f$_d,NULL->d
harvest,hQrvIst,harvested,hQr-vI-stId,NULL->Id
mock,mQk,mocked,mQkt,NULL->t
specify,spEsIf2,specified,spE-sI-f2d,NULL->d
loom,lum,loomed,lumd,NULL->d
prosecute,prQsIkjut,prosecuted,prQ-sI-kju-tId,NULL->Id
tick,tIk,ticked,tIkt,NULL->t
undo,Vndu,undid,Vn-dId,u->Id
chill,JIl,chilled,JIld,NULL->d
industrialize,IndVstrirl2z,industrialized,In-dVs-trir-l2zd,NULL->d
intensify,IntEnsIf2,intensified,In-tEn-sI-f2d,NULL->d
omit,@mIt,omitted,@-mI-tId,NULL->Id
soften,sQf@n,softened,sQ-f@nd,NULL->d
confer,k@nf3r,conferred,k@n-f3d,NULL->d
discipline,dIsIplIn,disciplined,dI-sI-plInd,NULL->d
distract,dIstr{kt,distracted,dI-str{k-tId,NULL->Id
inhibit,InhIbIt,inhibited,In-hI-bI-tId,NULL->Id
minimize,mInIm2z,minimized,mI-nI-m2zd,NULL->d
reason,riz@n,reasoned,ri-z@nd,NULL->d
sponsor,spQns3,sponsored,spQn-s3d,NULL->d
board,b$d,boarded,b$-dId,NULL->Id
flatten,fl{t@n,flattened,fl{-t@nd,NULL->d
knit,nIt,knitted,nI-tId,NULL->Id
pinch,pInJ,pinched,pInJt,NULL->t
supplement,sVplImEnt,supplemented,sV-plI-mEn-tId,NULL->Id
mistake,mIst1k,mistook,mI-stUk,1->U
number,nVmb3,numbered,nVm-b3d,NULL->d
retrieve,rItriv,retrieved,rI-trivd,NULL->d
skip,skIp,skipped,skIpt,NULL->t
wail,w1l,wailed,w1ld,NULL->d
aid,1d,aided,1-dId,NULL->Id
edge,E_,edged,E_d,NULL->d
dispense,dIspEns,dispensed,dI-spEnst,NULL->t
testify,tEstIf2,testified,tE-stI-f2d,NULL->d
wheel,wil,wheeled,wild,NULL->d
crumple,krVmp@l,crumpled,krVm-p@ld,NULL->d
reconcile,rEk@ns2l,reconciled,rE-k@n-s2ld,NULL->d
roast,r5st,roasted,r5-stId,NULL->Id
scan,sk{n,scanned,sk{nd,NULL->d
sprawl,spr$l,sprawled,spr$ld,NULL->d
battle,b{t@l,battled,b{-t@ld,NULL->d
dwell,dwEl,dwellt,dwElt,NULL->t
dwell,dwEl,dwelled,dwEld,NULL->d
grunt,grVnt,grunted,grVn-tId,NULL->Id
overwhelm,5v@wElm,overwhelmed,5-v@-wElmd,NULL->d
signify,sIgnIf2,signified,sIg-nI-f2d,NULL->d
trigger,trIg3,triggered,trI-g3d,NULL->d
applaud,@pl$d,applauded,@-pl$-dId,NULL->Id
bathe,b1D,bathed,b1Dd,NULL->d
click,klIk,clicked,klIkt,NULL->t
congratulate,k@ngr{JUl1t,congratulated,k@n-gr{-JU-l1-tId,NULL->Id
dwindle,dwInd@l,dwindled,dwIn-d@ld,NULL->d
evoke,Iv5k,evoked,I-v5kt,NULL->t
loosen,lus@n,loosened,lu-s@nd,NULL->d
nag,n{g,nagged,n{gd,NULL->d
thrill,TrIl,thrilled,TrIld,NULL->d
alert,@l3t,alerted,@-l3-tId,NULL->Id
daze,d1z,dazed,d1zd,NULL->d
gesture,_EsJ3,gestured,_Es-J3d,NULL->d
regulate,rEgjUl1t,regulated,rE-gjU-l1-tId,NULL->Id
rouse,r6z,roused,r6zd,NULL->d
beam,bim,beamed,bimd,NULL->d
classify,kl{sIf2,classified,kl{-sI-f2d,NULL->d
discharge,dIsJQr_,discharged,dIs-JQr_d,NULL->d
edit,EdIt,edited,E-dI-tId,NULL->Id
embody,ImbQdI,embodied,Im-bQ-dId,NULL->Id
experiment,IkspErIm@nt,experimented,Ik-spE-rI-m@n-tId,NULL->Id
pound,p6nd,pounded,p6n-dId,NULL->Id
comb,k5m,combed,k5md,NULL->d
obscure,@bskj$r,obscured,@b-skj$d,NULL->d
puff,pVf,puffed,pVft,NULL->t
clothe,kl5D,clothed,kl5Dd,NULL->d
erode,Ir5d,eroded,I-r5-dId,NULL->Id
fell,fEl,felled,fEld,NULL->d
water,w$t3,watered,w$-t3d,NULL->d
assault,@s$lt,assaulted,@-s$l-tId,NULL->Id
bully,bUlI,bullied,bU-lId,NULL->Id
cherish,JErIS,cherished,JE-rISt,NULL->t
disapprove,dIs@pruv,disapproved,dIs-@-pruvd,NULL->d
filter,fIlt3,filtered,fIl-t3d,NULL->d
glisten,glIs@n,glistened,glI-s@nd,NULL->d
hiss,hIs,hissed,hIst,NULL->t
huddle,hVd@l,huddled,hV-d@ld,NULL->d
portray,p$tr1,portrayed,p$-tr1d,NULL->d
simmer,sIm3,simmered,sI-m3d,NULL->d
unify,junIf2,unified,ju-nI-f2d,NULL->d
blind,bl2nd,blinded,bl2n-dId,NULL->Id
fumble,fVmb@l,fumbled,fVm-b@ld,NULL->d
hasten,h1s@n,hastened,h1-s@nd,NULL->d
overtake,5v@t1k,overtook,5-v@-tUk,1->U
sharpen,SQrp@n,sharpened,SQr-p@nd,NULL->d
stifle,st2f@l,stifled,st2-f@ld,NULL->d
tidy,t2dI,tidied,t2-dId,NULL->Id
decay,dIk1,decayed,dI-k1d,NULL->d
fool,ful,fooled,fuld,NULL->d
mobilize,m5bIl2z,mobilized,m5-bI-l2zd,NULL->d
pad,p{d,padded,p{-dId,NULL->Id
sterilize,stEr@l2z,sterilized,stE-r@-l2zd,NULL->d
tangle,t{Ng@l,tangled,t{N-g@ld,NULL->d
contend,k@ntEnd,contended,k@n-tEn-dId,NULL->Id
dread,drEd,dreaded,drE-dId,NULL->Id
film,fIlm,filmed,fIlmd,NULL->d
hop,hQp,hopped,hQpt,NULL->t
lurk,l3k,lurked,l3kt,NULL->t
revise,rIv2z,revised,rI-v2zd,NULL->d
season,siz@n,seasoned,si-z@nd,NULL->d
stock,stQk,stocked,stQkt,NULL->t
escort,Isk$t,escorted,I-sk$-tId,NULL->Id
flare,fl1r,flared,fl1rd,NULL->d
master,m{st3,mastered,m{-st3d,NULL->d
pollute,p@lut,polluted,p@-lu-tId,NULL->Id
probe,pr5b,probed,pr5bd,NULL->d
shelter,SElt3,sheltered,SEl-t3d,NULL->d
wither,wID3,withered,wI-D3d,NULL->d
bruise,bruz,bruised,bruzd,NULL->d
dust,dVst,dusted,dV-stId,NULL->Id
hunch,hVnJ,hunched,hVnJt,NULL->t
lash,l{S,lashed,l{St,NULL->t
nurse,n3s,nursed,n3st,NULL->t
paralyse,p{r@l2z,paralysed,p{-r@-l2zd,NULL->d
recede,rIsid,receded,rI-si-dId,NULL->Id
supervise,sup@v2z,supervised,su-p@-v2zd,NULL->d
transcend,tr{nsEnd,transcended,tr{n-sEn-dId,NULL->Id
trim,trIm,trimmed,trImd,NULL->d
underestimate,Vnd@rEstIm1t,underestimated,Vn-d@-rE-stI-m1-tId,NULL->Id
age,1_,aged,1_d,NULL->d
alienate,1lj@n1t,alienated,1-lj@-n1-tId,NULL->Id
dart,dQrt,darted,dQr-tId,NULL->Id
digest,dI_Est,digested,dI-_E-stId,NULL->Id
evaluate,Iv{ljU1t,evaluated,I-v{l-jU-1-tId,NULL->Id
grumble,grVmb@l,grumbled,grVm-b@ld,NULL->d
mend,mEnd,mended,mEn-dId,NULL->Id
pluck,plVk,plucked,plVkt,NULL->t
sag,s{g,sagged,s{gd,NULL->d
seduce,sIdjus,seduced,sI-djust,NULL->t
sting,stIN,stung,stVN,I->V
arch,QrJ,arched,QrJt,NULL->t
commission,k@mIS@n,commissioned,k@-mI-S@nd,NULL->d
recite,rIs2t,recited,rI-s2-tId,NULL->Id
stalk,st$k,stalked,st$kt,NULL->t
unite,jun2t,united,ju-n2-tId,NULL->Id
boost,bust,boosted,bu-stId,NULL->Id
centralize,sEntr@l2z,centralized,sEn-tr@-l2zd,NULL->d
mature,m@tj$r,matured,m@-tj$d,NULL->d
screen,skrin,screened,skrind,NULL->d
undress,VndrEs,undressed,Vn-drEst,NULL->t
wade,w1d,waded,w1-dId,NULL->Id
devour,dIv63,devoured,dI-v6-3d,NULL->d
droop,drup,drooped,drupt,NULL->t
symbolize,sImb@l2z,symbolized,sIm-b@-l2zd,NULL->d
blend,blEnd,blended,blEn-dId,NULL->Id
plot,plQt,plotted,plQ-tId,NULL->Id
reappear,ri@pir,reappeared,ri-@-pird,NULL->d
rinse,rIns,rinsed,rInst,NULL->t
couple,kVp@l,coupled,kV-p@ld,NULL->d
oppress,@prEs,oppressed,@-prEst,NULL->t
position,p@zIS@n,positioned,p@-zI-S@nd,NULL->d
shop,SQp,shopped,SQpt,NULL->t
summarize,sVm@r2z,summarized,sV-m@-r2zd,NULL->d
allocate,{l5k1t,allocated,{-l5-k1-tId,NULL->Id
black,bl{k,blacked,bl{kt,NULL->t
creak,krik,creaked,krikt,NULL->t
endanger,Ind1n_3,endangered,In-d1n-_3d,NULL->d
evaporate,Iv{p@r1t,evaporated,I-v{-p@-r1-tId,NULL->Id
harass,h{r@s,harassed,h{-r@st,NULL->t
torment,t$mEnt,tormented,t$-mEn-tId,NULL->Id
awake,@w1k,awoke,@-w5k,1->5
beckon,bEk@n,beckoned,bE-k@nd,NULL->d
dial,d2@l,dialled,d2-@ld,NULL->d
invoke,Inv5k,invoked,In-v5kt,NULL->t
post,p5st,posted,p5-stId,NULL->Id
storm,st$m,stormed,st$md,NULL->d
disrupt,dIsrVpt,disrupted,dIs-rVp-tId,NULL->Id
slope,sl5p,sloped,sl5pt,NULL->t
clarify,kl{rIf2,clarified,kl{-rI-f2d,NULL->d
pierce,pirs,pierced,pirst,NULL->t
shorten,S$t@n,shortened,S$-t@nd,NULL->d
subside,s@bs2d,subsided,s@b-s2-dId,NULL->Id
wink,wINk,winked,wINkt,NULL->t
disintegrate,dIsIntIgr1t,disintegrated,dIs-In-tI-gr1-tId,NULL->Id
dye,d2,dyed,d2d,NULL->d
lessen,lEs@n,lessened,lE-s@nd,NULL->d
repay,rip1,repaid,ri-p1d,NULL->d
silence,s2l@ns,silenced,s2-l@nst,NULL->t
swarm,sw$m,swarmed,sw$md,NULL->d
trample,tr{mp@l,trampled,tr{m-p@ld,NULL->d
clamber,kl{mb3,clambered,kl{m-b3d,NULL->d
disclose,dIskl5z,disclosed,dIs-kl5zd,NULL->d
pioneer,p2@nir,pioneered,p2-@-nird,NULL->d
resort,rIz$t,resorted,rI-z$-tId,NULL->Id
stab,st{b,stabbed,st{bd,NULL->d
bob,bQb,bobbed,bQbd,NULL->d
degrade,dIgr1d,degraded,dI-gr1-dId,NULL->Id
maximize,m{ksIm2z,maximized,m{k-sI-m2zd,NULL->d
overcrowd,5v@kr6d,overcrowded,5-v@-kr6-dId,NULL->Id
volunteer,vQl@ntir,volunteered,vQ-l@n-tird,NULL->d
wrestle,rEs@l,wrestled,rE-s@ld,NULL->d
authorize,$T@r2z,authorized,$-T@-r2zd,NULL->d
soil,s4l,soiled,s4ld,NULL->d
tire,t23,tired,t2-3d,NULL->d
anger,{Ng3,angered,{N-g3d,NULL->d
avert,@v3t,averted,@-v3-tId,NULL->Id
compound,k@mp6nd,compounded,k@m-p6n-dId,NULL->Id
comprehend,kQmprIhEnd,comprehended,kQm-prI-hEn-dId,NULL->Id
deepen,dip@n,deepened,di-p@nd,NULL->d
misunderstand,mIsVnd@st{nd,misunderstood,mIs-Vn-d@-stUd,{n->U
mould,m5ld,moulded,m5l-dId,NULL->Id
muffle,mVf@l,muffled,mV-f@ld,NULL->d
outrage,6tr1_,outraged,6t-r1_d,NULL->d
skim,skIm,skimmed,skImd,NULL->d
trickle,trIk@l,trickled,trI-k@ld,NULL->d
unfold,Vnf5ld,unfolded,Vn-f5l-dId,NULL->Id
chant,J{nt,chanted,J{n-tId,NULL->Id
crop,krQp,cropped,krQpt,NULL->t
interest,Intr@st,interested,In-tr@-stId,NULL->Id
offset,QfsEt,offset,Qf-sEt,NULL
protrude,pr@trud,protruded,pr@-tru-dId,NULL->Id
buzz,bVz,buzzed,bVzd,NULL->d
crowd,kr6d,crowded,kr6-dId,NULL->Id
ensue,Insju,ensued,In-sjud,NULL->d
evade,Iv1d,evaded,I-v1-dId,NULL->Id
grade,gr1d,graded,gr1-dId,NULL->Id
mess,mEs,messed,mEst,NULL->t
police,p@lis,policed,p@-list,NULL->t
wriggle,rIg@l,wriggled,rI-g@ld,NULL->d
yawn,j$n,yawned,j$nd,NULL->d
complicate,kQmplIk1t,complicated,kQm-plI-k1-tId,NULL->Id
litter,lIt3,littered,lI-t3d,NULL->d
prohibit,pr@hIbIt,prohibited,pr@-hI-bI-tId,NULL->Id
scare,sk1r,scared,sk1rd,NULL->d
stoop,stup,stooped,stupt,NULL->t
demolish,dImQlIS,demolished,dI-mQ-lISt,NULL->t
displace,dIspl1s,displaced,dIs-pl1st,NULL->t
drape,dr1p,draped,dr1pt,NULL->t
transport,tr{nsp$t,transported,tr{ns-p$-tId,NULL->Id
enrich,InrIJ,enriched,In-rIJt,NULL->t
lodge,lQ_,lodged,lQ_d,NULL->d
baffle,b{f@l,baffled,b{-f@ld,NULL->d
contradict,kQntr@dIkt,contradicted,kQn-tr@-dIk-tId,NULL->Id
deteriorate,dItirrirr1t,deteriorated,dI-tir-rir-r1-tId,NULL->Id
nourish,nVrIS,nourished,nV-rISt,NULL->t
roam,r5m,roamed,r5md,NULL->d
thrash,Tr{S,thrashed,Tr{St,NULL->t
utilize,jut@l2z,utilized,ju-t@-l2zd,NULL->d
violate,v2@l1t,violated,v2-@-l1-tId,NULL->Id
blaze,bl1z,blazed,bl1zd,NULL->d
down,d6n,downed,d6nd,NULL->d
flower,fl63,flowered,fl6-3d,NULL->d
package,p{kI_,packaged,p{-kI_d,NULL->d
publicize,pVblIs2z,publicized,pV-blI-s2zd,NULL->d
rebel,rIbEl,rebelled,rI-bEld,NULL->d
soothe,suD,soothed,suDd,NULL->d
writhe,r2D,writhed,r2Dd,NULL->d
designate,dEzIgn1t,designated,dE-zIg-n1-tId,NULL->Id
hail,h1l,hailed,h1ld,NULL->d
mate,m1t,mated,m1-tId,NULL->Id
raid,r1d,raided,r1-dId,NULL->Id
sever,sEv3,severed,sE-v3d,NULL->d
consolidate,k@nsQlId1t,consolidated,k@n-sQ-lI-d1-tId,NULL->Id
deplore,dIpl$r,deplored,dI-pl$d,NULL->d
emit,ImIt,emitted,I-mI-tId,NULL->Id
simplify,sImplIf2,simplified,sIm-plI-f2d,NULL->d
aspire,@sp23,aspired,@-sp2-3d,NULL->d
magnify,m{gnIf2,magnified,m{g-nI-f2d,NULL->d
slump,slVmp,slumped,slVmpt,NULL->t
blast,bl{st,blasted,bl{-stId,NULL->Id
button,bVt@n,buttoned,bV-t@nd,NULL->d
confide,k@nf2d,confided,k@n-f2-dId,NULL->Id
doze,d5z,dozed,d5zd,NULL->d
facilitate,f@sIlIt1t,facilitated,f@-sI-lI-t1-tId,NULL->Id
kidnap,kIdn{p,kidnapped,kId-n{pt,NULL->t
lurch,l3J,lurched,l3Jt,NULL->t
rank,r{Nk,ranked,r{Nkt,NULL->t
slaughter,sl$t3,slaughtered,sl$-t3d,NULL->d
sprout,spr6t,sprouted,spr6-tId,NULL->Id
fashion,f{S@n,fashioned,f{-S@nd,NULL->d
overlap,5v@l{p,overlapped,5-v@-l{pt,NULL->t
station,st1S@n,stationed,st1-S@nd,NULL->d
thin,TIn,thinned,TInd,NULL->d
trip,trIp,tripped,trIpt,NULL->t
alternate,$lt@n1t,alternated,$l-t@-n1-tId,NULL->Id
depress,dIprEs,depressed,dI-prEst,NULL->t
generalize,_En@r@l2z,generalized,_E-n@-r@-l2zd,NULL->d
reign,r1n,reigned,r1nd,NULL->d
scoop,skup,scooped,skupt,NULL->t
squint,skwInt,squinted,skwIn-tId,NULL->Id
duck,dVk,ducked,dVkt,NULL->t
manifest,m{nIfEst,manifested,m{-nI-fE-stId,NULL->Id
revolve,rIvQlv,revolved,rI-vQlvd,NULL->d
abuse,@bjuz,abused,@-bjuzd,NULL->d
cock,kQk,cocked,kQkt,NULL->t
flip,flIp,flipped,flIpt,NULL->t
gear,gir,geared,gird,NULL->d
uncover,VnkVv3,uncovered,Vn-kV-v3d,NULL->d
unload,Vnl5d,unloaded,Vn-l5-dId,NULL->Id
usher,VS3,ushered,V-S3d,NULL->d
whisk,wIsk,whisked,wIskt,NULL->t
wield,wild,wielded,wil-dId,NULL->Id
ascend,@sEnd,ascended,@-sEn-dId,NULL->Id
bubble,bVb@l,bubbled,bV-b@ld,NULL->d
cash,k{S,cashed,k{St,NULL->t
gape,g1p,gaped,g1pt,NULL->t
relish,rElIS,relished,rE-lISt,NULL->t
scribble,skrIb@l,scribbled,skrI-b@ld,NULL->d
thump,TVmp,thumped,TVmpt,NULL->t
withhold,wIDh5ld,withheld,wID-hEld,5->E
effect,IfEkt,effected,I-fEk-tId,NULL->Id
fiddle,fId@l,fiddled,fI-d@ld,NULL->d
hush,hVS,hushed,hVSt,NULL->t
man,m{n,manned,m{nd,NULL->d
notify,n5tIf2,notified,n5-tI-f2d,NULL->d
plug,plVg,plugged,plVgd,NULL->d
smother,smVD3,smothered,smV-D3d,NULL->d
wring,rIN,wrung,rVN,I->V
recur,rIk3r,recurred,rI-k3d,NULL->d
compute,k@mpjut,computed,k@m-pju-tId,NULL->Id
enlist,InlIst,enlisted,In-lI-stId,NULL->Id
manoeuvre,m@nuv3,manoeuvred,m@-nu-v3d,NULL->d
perish,pErIS,perished,pE-rISt,NULL->t
refrain,rIfr1n,refrained,rI-fr1nd,NULL->d
snarl,snQrl,snarled,snQrld,NULL->d
visualize,vIZ$l2z,visualized,vI-Z$-l2zd,NULL->d
clatter,kl{t3,clattered,kl{-t3d,NULL->d
dispatch,dIsp{J,dispatched,dI-sp{Jt,NULL->t
embroider,Imbr4d3,embroidered,Im-br4-d3d,NULL->d
faint,f1nt,fainted,f1n-tId,NULL->Id
limp,lImp,limped,lImpt,NULL->t
withstand,wIDst{nd,withstood,wID-stUd,{n->U
average,{v@rI_,averaged,{-v@-rI_d,NULL->d
conserve,k@ns3v,conserved,k@n-s3vd,NULL->d
glide,gl2d,glided,gl2-dId,NULL->Id
highlight,h2l2t,highlighted,h2-l2-tId,NULL->Id
rally,r{lI,rallied,r{-lId,NULL->Id
shimmer,SIm3,shimmered,SI-m3d,NULL->d
thicken,TIk@n,thickened,TI-k@nd,NULL->d
whine,w2n,whined,w2nd,NULL->d
caress,k@rEs,caressed,k@-rEst,NULL->t
cluster,klVst3,clustered,klVs-t3d,NULL->d
discriminate,dIskrImIn1t,discriminated,dI-skrI-mI-n1-tId,NULL->Id
enchant,InJ{nt,enchanted,In-J{n-tId,NULL->Id
steady,stEdI,steadied,stE-dId,NULL->Id
banish,b{nIS,banished,b{-nISt,NULL->t
chuckle,JVk@l,chuckled,JV-k@ld,NULL->d
coat,k5t,coated,k5-tId,NULL->Id
crown,kr6n,crowned,kr6nd,NULL->d
farm,fQrm,farmed,fQrmd,NULL->d
labour,l1b3,laboured,l1-b3d,NULL->d
assimilate,@sImIl1t,assimilated,@-sI-mI-l1-tId,NULL->Id
bat,b{t,batted,b{-tId,NULL->Id
compromise,kQmpr@m2z,compromised,kQm-pr@-m2zd,NULL->d
dot,dQt,dotted,dQ-tId,NULL->Id
engulf,IngVlf,engulfed,In-gVlft,NULL->t
enrage,Inr1_,enraged,In-r1_d,NULL->d
ski,ski,skid,skid,NULL->d
slash,sl{S,slashed,sl{St,NULL->t
wean,win,weaned,wind,NULL->d
bug,bVg,bugged,bVgd,NULL->d
comply,k@mpl2,complied,k@m-pl2d,NULL->d
credit,krEdIt,credited,krE-dI-tId,NULL->Id
endow,Ind6,endowed,In-d6d,NULL->d
harness,hQrnIs,harnessed,hQr-nIst,NULL->t
incur,Ink3r,incurred,In-k3d,NULL->d
nail,n1l,nailed,n1ld,NULL->d
shield,Sild,shielded,Sil-dId,NULL->Id
smear,smir,smeared,smird,NULL->d
contrive,k@ntr2v,contrived,k@n-tr2vd,NULL->d
dispute,dIspjut,disputed,dI-spju-tId,NULL->Id
lengthen,lENT@n,lengthened,lEN-T@nd,NULL->d
stray,str1,strayed,str1d,NULL->d
uphold,Vph5ld,upheld,Vp-hEld,5->E
wrench,rEnJ,wrenched,rEnJt,NULL->t
bolt,b5lt,bolted,b5l-tId,NULL->Id
corrupt,k@rVpt,corrupted,k@-rVp-tId,NULL->Id
cycle,s2k@l,cycled,s2-k@ld,NULL->d
dawn,d$n,dawned,d$nd,NULL->d
gallop,g{l@p,galloped,g{-l@pt,NULL->t
inject,In_Ekt,injected,In-_Ek-tId,NULL->Id
